Id,Account_status,Salary,Internal_PD,External_PD,Loan_amount,Profit,Banking_with_bank,Months_on_book,External_utilisation,Internal_utilisation,Spend_percentage,Probability,Profit_score
15701,In_order,432000.0,0.0,0.1988636363636363,12000.0,173.54,1,25.0,0.0495363562091503,0.885709,0.90331,0.4678815064744435,5.0
15705,In_order,834048.0,0.2752992383025027,0.3181818181818182,23000.0,464.61,0,22.0,1.1534672447013488,0.844532,0.023037,0.15321823324536,2.0
15726,In_order,324000.0,0.0625680087051142,0.6988636363636364,33700.0,193.98,0,33.0,0.3871767466110531,0.922401,0.282671,0.496669496445043,5.0
15750,In_order,324000.0,0.0081610446137105,0.5568181818181818,12000.0,42.34,1,111.0,0.171987012987013,0.192815,0.067147,0.9006342260049442,10.0
15751,In_arrears,600000.0,0.2187159956474428,0.4261363636363636,102100.0,-1496.53,1,221.0,0.9479915667998224,0.586154,0.012022,0.3916437989365254,4.0
15794,In_order,347796.0,0.2638737758433079,0.5965909090909091,65000.0,1654.67,0,23.0,0.3458974358974359,0.263301,0.029034,0.5448003372987971,6.0
15808,In_order,300000.0,0.2132752992383024,0.4375,24000.0,-505.81,0,47.0,0.6091029561671764,0.946063,0.086252,0.4060272876952401,5.0
15823,In_order,780000.0,0.0511425462459194,0.4545454545454545,50000.0,451.74,0,45.0,0.8170865818629462,0.612571,0.05776,0.4119498472488987,5.0
15829,In_order,168000.0,0.0723612622415669,0.7272727272727273,16200.0,191.74,0,25.0,0.3908444816053512,0.769274,0.241432,0.4559369488272721,5.0
15830,In_order,158400.0,0.0859630032644178,0.0852272727272727,8000.0,-20.34,0,82.0,0.0134443133113858,0.527365,0.290883,0.6158209867257429,7.0
15855,In_order,616716.0,0.0,0.2045454545454545,72300.0,118.81,1,353.0,0.5857595486111111,0.982824,0.065735,0.3493190359951544,4.0
15857,In_order,241488.0,0.8650707290533186,0.5340909090909091,3000.0,147.29,1,13.0,0.1593038674033149,0.935695,0.272276,0.6358672375321242,7.0
15879,In_order,200400.0,0.3590859630032644,0.5909090909090909,6000.0,20.58,1,21.0,0.3032584269662921,0.802341,0.087942,0.4980580958937937,5.0
15882,In_order,386916.0,0.2791077257889009,0.2215909090909091,60000.0,821.86,1,72.0,0.8766447908121411,0.775077,0.01904,0.37208947316727,4.0
